loaded in time vals
Using two part PSO Sample Size:5000 with:14 moments.
Using Times:240
Bounds for Uniform Distribution (0,1)
Blind PSO --> nParts:25 Nsteps:50
Targeted PSO --> nParts:10 Nsteps:1000
sdbeta:0.1
Reading in data!
first row X0:18.66  5.02 12.57  0.65
final row X0: 7.12 15.35 -0.69 25.22



Here?
contour rates below! 
eqwts
    0.73121    0.210256   0.0901003    0.840568           0           0  1.1062e+11
    0.73121    0.210256   0.0901003    0.840568           0        0.02 1.86217e+10
    0.73121    0.210256   0.0901003    0.840568           0        0.04 5.26304e+09
    0.73121    0.210256   0.0901003    0.840568           0        0.06 2.04166e+09
    0.73121    0.210256   0.0901003    0.840568           0        0.08 9.71655e+08
    0.73121    0.210256   0.0901003    0.840568           0         0.1 5.31793e+08
    0.73121    0.210256   0.0901003    0.840568           0        0.12  3.2181e+08
    0.73121    0.210256   0.0901003    0.840568           0        0.14 2.09945e+08
    0.73121    0.210256   0.0901003    0.840568           0        0.16 1.45163e+08
    0.73121    0.210256   0.0901003    0.840568           0        0.18 1.05109e+08
    0.73121    0.210256   0.0901003    0.840568           0         0.2 7.90068e+07
    0.73121    0.210256   0.0901003    0.840568           0        0.22 6.12474e+07
    0.73121    0.210256   0.0901003    0.840568           0        0.24 4.87223e+07
    0.73121    0.210256   0.0901003    0.840568           0        0.26 3.96168e+07
    0.73121    0.210256   0.0901003    0.840568           0        0.28  3.2823e+07
    0.73121    0.210256   0.0901003    0.840568           0         0.3 2.76392e+07
    0.73121    0.210256   0.0901003    0.840568           0        0.32 2.36056e+07
    0.73121    0.210256   0.0901003    0.840568           0        0.34 2.04126e+07
    0.73121    0.210256   0.0901003    0.840568           0        0.36 1.78464e+07
    0.73121    0.210256   0.0901003    0.840568           0        0.38 1.57557e+07
    0.73121    0.210256   0.0901003    0.840568           0         0.4 1.40316e+07
    0.73121    0.210256   0.0901003    0.840568           0        0.42 1.25943e+07
    0.73121    0.210256   0.0901003    0.840568           0        0.44 1.13841e+07
    0.73121    0.210256   0.0901003    0.840568           0        0.46 1.03559e+07
    0.73121    0.210256   0.0901003    0.840568           0        0.48 9.47531e+06
    0.73121    0.210256   0.0901003    0.840568           0         0.5 8.71537e+06
    0.73121    0.210256   0.0901003    0.840568           0        0.52 8.05506e+06
    0.73121    0.210256   0.0901003    0.840568           0        0.54 7.47767e+06
    0.73121    0.210256   0.0901003    0.840568           0        0.56 6.96983e+06
    0.73121    0.210256   0.0901003    0.840568           0        0.58 6.52076e+06
    0.73121    0.210256   0.0901003    0.840568           0         0.6 6.12165e+06
    0.73121    0.210256   0.0901003    0.840568           0        0.62 5.76529e+06
