pCD3z(),pSLP76(),pErk(),pS6()
5.30345,10.3334,15.5823,6.758
32.9033,22.0468,33.9165,11.5679
13.564,14.2489,8.30246,6.80645
25.0375,5.96285,1.88774,72.7905
10.0957,16.1114,7.34182,16.1413
10.3899,10.2195,4.33342,4.48781
15.9408,8.32596,3.47632,3.95572
6.98343,7.30902,13.3608,9.3894
11.9073,5.53529,15.5738,4.35299
13.8427,28.3927,12.4863,20.6082
14.6324,8.13746,19.9639,9.88695
3.88669,21.6477,9.36804,46.5879
7.4402,2.13455,3.82109,5.34695
11.7524,5.85045,11.1165,14.52
26.6942,19.4392,8.85414,9.27351
13.9201,19.3368,23.8634,12.7206
20.1446,8.81076,3.63005,54.385
5.52796,9.5762,6.40326,13.9929
13.6105,15.9557,8.71837,9.26443
13.7421,14.9432,17.6567,31.102
15.004,7.47785,5.60798,3.44563
7.41698,4.32793,3.05267,3.59138
10.8776,18.0197,7.04366,20.7535
12.4182,12.1354,6.03266,5.05912
6.65053,2.28182,0.737341,6.95913
2.98089,1.25638,2.36771,1.18693
16.9395,4.40754,1.94155,3.1752
13.7421,19.2411,7.7554,8.73385
2.30735,8.3353,6.19289,2.93249
1.60284,6.62921,2.99518,75.5526
4.90861,14.8928,6.12584,26.3578
11.0015,9.21243,10.4809,12.1545
3.46088,6.26659,3.33646,11.2133
9.66212,9.27413,6.38361,1.4433
15.2595,6.50226,3.01886,11.8538
6.37183,13.1361,15.908,76.8585
0.975746,12.0975,5.7139,5.6715
1.52542,0.861993,1.5939,11.9761
3.94862,12.0866,6.87541,11.2469
3.34476,0.90767,1.18029,0.680717
8.41568,18.308,10.0895,3.83138
4.1112,8.07311,5.81189,17.3589
19.7653,6.71219,2.37795,12.6057
3.6854,5.26744,5.07348,17.7995
15.5305,11.8389,5.02593,4.52033
20.1911,12.4277,5.62921,27.619
4.04927,0.856372,7.73934,13.0657
12.3331,5.97232,3.18757,5.12505
1.65703,2.68291,4.86797,10.1337
5.45829,5.24275,5.20796,12.451
24.8904,53.0025,20.5065,20.0446
3.21315,2.84347,1.68237,14.7418
21.244,7.80397,9.13648,7.61353
14.2376,4.66766,3.85848,23.4607
14.2685,8.53072,2.98554,12.4101
6.1628,10.4636,8.17694,9.3814
7.72665,7.68355,7.94852,7.05171
7.62601,27.7006,13.7996,17.0855
7.88149,10.3929,8.73322,4.45529
8.16794,8.71498,3.80305,8.27282
4.27378,9.54829,6.90521,12.2508
1.50219,5.96525,4.9316,68.5288
13.6801,5.25592,3.64141,7.82388
16.204,9.43998,3.95906,3.42944
15.1898,5.75996,2.8023,6.99405
15.693,8.82514,6.14559,29.2787
0.913812,7.51049,6.32334,12.1607
12.5808,19.3284,9.41667,5.31578
35.3341,42.123,27.1583,5.89885
5.66732,21.9552,9.30588,5.98435
12.8285,6.222,2.03096,16.4874
7.33182,12.0392,5.31503,7.15787
1.88154,6.20456,4.12179,4.48445
24.8284,23.8058,9.03198,3.84583
9.90212,18.6114,8.22964,14.0176
20.2607,17.5253,6.35687,4.35877
5.05571,9.76283,3.80864,12.6724
7.47891,36.3008,14.1114,3.23986
6.90602,14.8814,19.8205,27.2078
9.62341,11.0195,21.1641,10.9225
8.53181,10.0855,6.49613,2.51169
39.2206,53.7813,23.0572,12.4829
6.31762,3.57735,8.5115,11.0876
0.952521,2.68327,2.57826,6.02353
1.99767,6.95989,4.34204,9.89794
