NKG2D(),CD45(),pErk(),CD107a()
10.9769,41.2126,0.515828,10.6247
15.9619,77.7208,0.972916,16.4444
3.80415,34.8366,0.436197,7.80306
5.52715,44.0425,0.551451,14.4489
5.13995,15.0729,0.188616,4.87848
6.82423,31.4785,0.394032,5.32323
8.35364,37.8101,0.473294,8.913
4.8302,27.573,0.345194,7.71164
11.4705,47.4439,0.59384,8.97171
6.52416,43.7476,0.547793,30.4104
7.32758,68.2261,0.854302,34.782
10.0766,66.2896,0.829922,10.5838
12.9999,38.1921,0.477933,10.22
4.26878,59.7842,0.748634,9.94838
1.85851,44.4438,0.556584,8.93107
11.2188,63.7902,0.798585,11.7424
1.60684,52.3648,0.655795,9.00257
22.5248,38.775,0.48491,11.6053
3.49439,161.814,2.02654,26.2147
1.32613,33.9473,0.425137,6.76146
9.09898,36.5229,0.457144,9.48101
12.9612,25.2448,0.315815,20.0382
7.76317,52.9644,0.663117,12.1594
21.4504,16.4801,0.205722,6.16378
23.4831,73.7128,0.922466,15.0216
6.64032,54.925,0.687708,13.017
34.7891,71.5247,0.894695,14.9316
9.07962,55.2394,0.691584,17.3594
14.4616,60.5845,0.758341,14.7056
9.21514,32.5535,0.407433,8.91391
0.861499,47.2303,0.591517,8.9267
20.0371,103.961,1.30147,36.2109
11.0349,62.3204,0.780183,11.9645
9.25385,28.1879,0.352741,4.64546
8.85698,84.6098,1.05943,19.0138
9.57329,50.1429,0.627741,25.5561
23.5218,47.9501,0.5998,15.3983
4.72373,83.7469,1.04877,19.7906
2.83617,52.7792,0.660945,9.06369
1.38421,26.9622,0.337652,6.38591
18.1496,55.5943,0.695742,19.3404
17.6462,30.2773,0.378643,7.23781
1.16157,24.4638,0.306401,15.8782
9.91208,32.3523,0.404892,10.0908
14.7326,53.5888,0.670714,12.5979
3.75575,42.7039,0.534735,8.97566
10.3089,69.6275,0.871723,12.2718
3.83319,35.5139,0.444677,7.75823
16.746,31.0974,0.38895,8.75763
13.7453,58.3791,0.730778,24.8948
20.9083,27.175,0.339706,13.207
1.51004,26.7092,0.334482,6.59626
18.1496,40.8415,0.510951,12.598
9.10866,42.6966,0.534463,7.4503
13.4936,33.9432,0.424699,10.8785
10.6284,27.2968,0.341576,16.5233
11.9835,50.876,0.636819,10.9036
9.54425,73.6626,0.92232,23.1508
3.65895,28.9413,0.362366,6.86738
3.05881,54.9865,0.688596,12.3061
8.92474,13.699,0.171332,17.3649
7.03719,52.6596,0.659309,9.09394
0.125837,25.6393,0.321122,5.3937
6.08857,17.0285,0.213083,6.00983
7.30822,214.101,2.68129,36.9192
18.7497,44.7985,0.560481,10.1913
8.14068,59.8086,0.748823,12.0219
9.12802,71.0298,0.889331,13.8729
10.2025,86.4491,1.08241,15.316
15.3424,40.7469,0.509845,8.49078
6.46608,38.3687,0.480348,7.95483
9.74752,50.9788,0.638172,8.66555
7.4147,3.09548,0.0385442,5.40127
2.4877,52.349,0.655578,10.7278
6.04017,95.0894,1.19076,20.0397
16.8815,14.6449,0.182885,6.45074
6.31121,101.896,1.276,16.5566
2.56514,39.0884,0.489487,8.14702
7.71477,28.4405,0.355983,13.0588
5.70138,17.2478,0.215839,3.66494
3.93966,57.8305,0.724217,21.5756
1.70364,34.8236,0.436096,6.39663
6.53384,43.7479,0.547711,8.11052
6.65968,38.5288,0.482359,11.8992
11.6641,40.7199,0.509639,12.1263
2.85553,14.532,0.181921,4.7005
4.33653,44.5197,0.557454,8.92628
0.871179,27.7514,0.347547,5.4899
11.2866,89.8387,1.12485,19.9798
1.25837,45.9067,0.574921,7.48999
5.66266,68.569,0.858613,12.2397
13.6291,56.7402,0.710213,11.8105
0.503348,13.6123,0.170478,4.25384
11.2866,42.3865,0.530517,10.4863
8.69243,95.9755,1.20179,19.3903
7.34694,26.888,0.33653,8.07852
15.4392,92.8001,1.16179,17.6289
9.67008,28.1322,0.35204,7.95568
3.62023,10.5141,0.131595,11.5341
10.6768,58.8331,0.736514,10.2936
