NKG2D(),CD45(),pErk(),CD107a()
3.48,17.01,0.86,0.75
18.85,109.5,4.83,0.03
2.39,70.89,9.49,5.79
13.68,30.78,0.25,0.16
33.66,19.79,0.87,0.24
8.21,32.81,0.69,0.49
20.13,79.32,0.84,0.91
2.55,57.43,3.86,0.59
6.01,30.58,1.12,5.89
17.85,85.22,0.86,0.27
1.01,61.7,0.88,0.11
13.47,51.17,7.02,0.65
60.58,47.54,1.5,0.15
11.38,50.08,1.96,0.66
17.29,33.1,2.6,0.09
1.51,25.71,-0,1.71
20.51,53.91,2.77,0.32
7.49,41.46,1.65,0.25
3.44,19.28,0.36,0.05
1.41,38.58,8.26,36.42
1.19,28.39,0.77,0.52
10.2,28.93,6.26,0.82
9.12,17.95,8.16,1.02
16.22,14.69,0.19,0.89
4.39,38.34,2.88,0.82
1.5,36.67,1.19,0.43
17.07,60.96,2.21,2.36
4.23,36.59,1.2,0.13
33.85,63.26,0.24,1.04
18.95,23.86,0.91,1.75
0.92,18.26,1.28,0.79
9.11,37.81,14.84,0.47
9.95,41.41,2.14,1.03
17.8,40.68,2.27,2.07
26.03,42.09,5.23,2.47
6.2,58.53,9.56,0.44
13.46,39.79,1.09,0.39
11.99,40.27,0.72,1.06
10.62,52,0.18,1.08
7.32,12.62,0.38,0.91
25.58,42,0.96,0.79
2.63,29.42,2.09,0.02
0.37,27.6,3.45,1.03
0.21,77.89,41.93,92.07
1.21,34.51,0.18,0.24
2.15,45.8,10.66,5.73
6.62,71.72,4.82,0.74
5.66,26.54,4.67,0.63
5.28,65.12,0.59,0.78
17.09,17.78,1.62,1.65
2.78,62.54,0.18,0.68
8.98,56.05,1.79,0.77
34.51,61.16,4.18,0.34
4.49,73.83,4.5,0.88
4.4,32.54,1.2,0.89
28.36,142.69,2.19,49.56
8.91,82.07,5.47,0.71
22.87,16.68,1.11,0.78
11.96,42.23,0.04,0.6
9.93,17.81,2.79,0.12
4.7,19.52,1.9,0.05
